X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,,X,Y,Z
-0.4292592540895,0.14,-0.450261739710255,,-0.409486699524731,0.14,-0.473473014790459,,-0.469883360958401,0.14,-0.414753382066525,,-0.411385608215156,0.14,-0.454664813483699,,-0.378054186794316,0.14,-0.459522977822386,,-0.383571721520151,0.14,-0.467477779331905,,,-0.410436153869943,0.14,-0.454664813483699
-0.424262588373326,0.14,-0.454850858849303,,-0.404342996262936,0.14,-0.477072154940962,,-0.463543667174712,0.14,-0.420911750700514,,-0.406397853122529,0.14,-0.458855513555591,,-0.374588341163838,0.14,-0.462886235102032,,-0.377326373760721,0.14,-0.471985912101769,,,-0.405370424692733,0.14,-0.458855513555591
-0.419268190781325,0.14,-0.45933676197114,,-0.3991701308892,0.14,-0.480611703715562,,-0.457112129218776,0.14,-0.426981588338466,,-0.401345993157816,0.14,-0.463009014574004,,-0.371126915038523,0.14,-0.466195962813101,,-0.371194457102404,0.14,-0.476279062436107,,,-0.400258062023508,0.14,-0.463009014574004
-0.414689236482465,0.14,-0.463390149716529,,-0.393843888172211,0.14,-0.484178692817688,,-0.451046302298425,0.14,-0.432465447514199,,-0.396673787257554,0.14,-0.466792737925679,,-0.367927520159381,0.14,-0.469173316404875,,-0.36567413058366,0.14,-0.48001529014918,,,-0.395258837714883,0.14,-0.466792737925679
-0.410733309558404,0.14,-0.466872087844915,,-0.388227801879361,0.14,-0.48787401959556,,-0.445600468627232,0.14,-0.437153012829187,,-0.392607178678289,0.14,-0.47007118311432,,-0.365081165300108,0.14,-0.471712791680274,,-0.360679373266037,0.14,-0.483293746210878,,,-0.390417490278825,0.14,-0.47007118311432
-0.407334777364993,0.14,-0.469928399533798,,-0.38297240929118,0.14,-0.491180317450479,,-0.440575155856721,0.14,-0.441279930186003,,-0.38895302300409,0.14,-0.472997211170451,,-0.362499038924884,0.14,-0.473942221620807,,-0.355669527128289,0.14,-0.486535126264123,,,-0.385962716147635,0.14,-0.472997211170451
-0.404204979032035,0.14,-0.472676988122196,,-0.378001206048098,0.14,-0.4941677392514,,-0.435763636524669,0.14,-0.445023380750913,,-0.385538996529146,0.14,-0.475674370565903,,-0.360167451647662,0.14,-0.475942448410221,,-0.351103843902305,0.14,-0.489435046605581,,,-0.381770101288622,0.14,-0.475674370565903
-0.401382175809985,0.14,-0.475142677021282,,-0.37338274296105,0.14,-0.496834143497228,,-0.431163669496876,0.14,-0.448400277022433,,-0.3823588288733,0.14,-0.478115184632807,,-0.358100312421888,0.14,-0.477724743798124,,-0.347037333304469,0.14,-0.492001617004961,,,-0.377870785917175,0.14,-0.477724743798124
-0.398809202441407,0.14,-0.477316580046067,,-0.369114871546204,0.14,-0.499161525496539,,-0.426804884994268,0.14,-0.451397537549917,,-0.379439735471129,0.14,-0.480307822781084,,-0.356285670184857,0.14,-0.479288707895437,,-0.343478162433906,0.14,-0.494218750036273,,,-0.374277303508667,0.14,-0.479288707895437
-0.397949353165614,0.14,-0.477989467122815,,-0.366990904626884,0.14,-0.50014507487337,,-0.422606095004376,0.14,-0.454054375226968,,-0.37665538854132,0.14,-0.482312319800252,,-0.354678658238095,0.14,-0.480688467167816,,-0.340274091772825,0.14,-0.496146225351674,,,-0.371823146584102,0.14,-0.480688467167816
-0.396269295564391,0.14,-0.479255371478368,,-0.365155083040483,0.14,-0.501153960945181,,-0.419486935004397,0.14,-0.45544508554792,,-0.373970464451086,0.14,-0.484122241872504,,-0.353302536282932,0.14,-0.48192809253973,,-0.337370304375511,0.14,-0.497795694135548,,,-0.369562773745785,0.14,-0.48192809253973
-0.394038349604929,0.14,-0.480971339834506,,-0.362316640282579,0.14,-0.502834084880577,,-0.416375660767363,0.14,-0.456674466291092,,-0.371433114827859,0.14,-0.485742373829549,,-0.352136722085226,0.14,-0.483008106308399,,-0.334866100915341,0.14,-0.499143918184456,,,-0.366874877555219,0.14,-0.483008106308399
-0.392114926892356,0.14,-0.482475091481407,,-0.360509900530757,0.14,-0.504198739003426,,-0.412463384367524,0.14,-0.458694209008661,,-0.369038603116626,0.14,-0.487248515244209,,-0.351074923079417,0.14,-0.48397142177979,,-0.332844226490064,0.14,-0.500190852429406,,,-0.364774251823691,0.14,-0.48397142177979
-0.390408426319195,0.14,-0.483823146581169,,-0.359106485686349,0.14,-0.505292904644787,,-0.409782075139794,0.14,-0.460374663739729,,-0.366813641342564,0.14,-0.48864941766534,,-0.350105461427264,0.14,-0.484823927317722,,-0.331355353705392,0.14,-0.500905071045318,,,-0.362960063514457,0.14,-0.484823927317722
